               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12988,            0.044858,            0.040241,                   0,                   0,                   0,                   0,                   0,            0.013863,                   0,              0.0937,              0.0007,              0.0007
                   1,             0.12502,            0.049869,            0.036773,                   0,                   0,                   0,                   0,                   0,            0.010378,                   0,            0.086485,           0.0014851,           0.0014851
                   2,             0.12082,            0.050222,            0.032485,                   0,                   0,                   0,                   0,                   0,            0.009614,                   0,            0.079254,           0.0022545,           0.0022545
                   3,              0.1173,            0.053203,            0.031057,                   0,                   0,                   0,                   0,                   0,           0.0077004,                   0,            0.072008,           0.0030079,           0.0030079
                   4,             0.11152,            0.050644,            0.027233,                   0,                   0,                   0,                   0,                   0,           0.0064325,                   0,            0.064746,           0.0037456,           0.0037456
                   5,             0.10666,            0.049893,            0.023938,                   0,                   0,                   0,                   0,                   0,           0.0093689,                   0,            0.057467,           0.0044673,           0.0044673
                   6,             0.10342,            0.047106,            0.020622,                   0,                   0,                   0,                   0,                   0,            0.016241,                   0,            0.050173,           0.0051733,           0.0051733
                   7,             0.10187,            0.047563,            0.022801,                   0,                   0,                   0,                   0,                   0,            0.015833,                   0,            0.042863,           0.0058634,           0.0058634
                   8,             0.09916,            0.047149,            0.020158,                   0,                   0,                   0,                   0,                   0,            0.010161,                   0,            0.035538,           0.0065377,           0.0065377
                   9,            0.093178,            0.052847,            0.018319,                   0,                   0,                   0,                   0,                   0,            0.013374,                   0,            0.028196,           0.0071961,           0.0071961
                  10,            0.095233,            0.047699,            0.016001,                   0,                   0,                   0,                   0,                   0,             0.01008,                   0,            0.020839,           0.0078387,           0.0078387
                  11,             0.10065,            0.041219,             0.01588,                   0,                   0,                   0,                   0,                   0,           0.0098872,                   0,            0.013465,           0.0084655,           0.0084655
                  12,            0.096451,            0.043908,            0.016734,                   0,                   0,                   0,                   0,                   0,            0.010308,                   0,            0.008812,            0.008812,            0.008812
                  13,            0.092024,             0.04152,            0.014793,                   0,                   0,                   0,                   0,                   0,            0.011938,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.090824,            0.041487,            0.014548,                   0,                   0,                   0,                   0,                   0,           0.0096445,                   0,            0.008713,            0.008713,            0.008713
